weiboID,name,year,day,box,cate,score.douban,score.gewara,score.imdb,score.maoyan,score.mtime,score.nuomi,score.taobao,score.weibo,score.wepiao,casts
180809,战狼2,2017,2017-7-27,563187.0,"[ ""动作"" ]",7.6,9.4,7.3,9.7,7.5,,9.6,8.6,9.7,吴京;弗兰克·格里罗;吴刚
179188,功夫瑜伽,2017,2017-1-28,175277.0,"[ ""喜剧"", ""动作"", ""冒险"" ]",5.3,8.3,5.8,8.4,6.1,,8.6,7.6,8.6,成龙;李治廷;张艺兴
178653,西游伏妖篇,2017,2017-1-28,165679.79,"[ ""喜剧"", ""动作"", ""奇幻"" ]",5.8,7.4,5.7,7.8,6.6,,7.9,7.0,7.5,吴亦凡;林更新;姚晨
181166,大闹天竺,2017,2017-1-28,75852.3,"[ ""喜剧"", ""动作"", ""冒险"" ]",3.9,7.2,3.9,7.4,5.8,,7.7,6.3,7.3,王宝强;白客;岳云鹏
180893,悟空传,2017,2017-7-13,69155.0,"[ ""剧情"", ""动作"", ""奇幻"" ]",5.4,7.6,5.3,7.6,5.6,7.0,7.8,6.1,7.6,彭于晏;倪妮;余文乐
182318,熊出没·奇幻空间,2017,2017-1-28,52278.45,"[ ""儿童"", ""动画"" ]",6.5,9.1,,9.1,5.7,,9.2,8.8,8.7,尚雯婕;鲍春来;孙建弘
176942,三生三世十里桃花,2017,2017-8-3,43635.0,"[ ""爱情"", ""奇幻"" ]",4.3,7.2,6.0,7.1,5.3,,6.8,6.9,,刘亦菲;杨洋;罗晋
182608,拆弹专家,2017,2017-4-28,39973.0,"[ ""动作"", ""犯罪"", ""悬疑"" ]",6.6,8.7,6.8,9.0,6.9,9.0,8.8,7.8,9.0,刘德华;姜武;宋佳
181697,建军大业,2017,2017-7-28,33712.0,"[ ""剧情"", ""历史"" ]",7.5,8.7,,9.1,,,8.8,8.3,9.0,刘烨;朱亚文;黄志忠;王景春;欧豪
180322,记忆大师,2017,2017-4-28,29240.0,"[ ""剧情"", ""犯罪"", ""悬疑"" ]",7.3,8.3,6.9,8.6,7.3,8.0,8.6,7.6,8.3,黄渤;段奕宏;徐静蕾
178709,绣春刀II：修罗战场,2017,2017-7-19,26250.0,"[ ""剧情"", ""动作"", ""武侠"" ]",7.6,,7.2,8.5,,,8.3,7.8,,张震;杨幂;张译
181403,嫌疑人X的献身,2017,2017-3-31,22684.0,"[ ""犯罪"", ""悬疑"" ]",6.5,8.4,6.8,8.6,6.7,,8.5,7.8,8.6,王凯;张鲁一;林心如
181743,京城81号Ⅱ,2017,2017-7-6,21789.0,"[ ""剧情"", ""悬疑"", ""惊悚"" ]",4.0,6.5,,5.8,5.0,6.0,6.4,5.5,5.7,张智霖;梅婷;钟欣潼
182613,喜欢你,2017,2017-4-27,21042.0,"[ ""喜剧"", ""爱情"" ]",7.0,8.5,6.5,8.9,7.2,,8.7,7.6,8.7,金城武;周冬雨;孙艺洲
180917,逆时营救,2017,2017-6-29,20047.0,"[ ""动作"", ""科幻"" ]",4.9,7.7,6.1,7.9,5.8,7.0,7.9,6.7,7.9,杨幂;霍建华;金士杰
180995,春娇救志明,2017,2017-4-28,17538.0,"[ ""剧情"", ""喜剧"", ""爱情"" ]",7.3,8.6,6.8,8.8,7.2,,8.7,7.7,8.5,余文乐;杨千嬅;蒋梦婕
